language_slug,glottocode,family_top,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent,mean_content_len_test,median_content_len_test,mean_arc_length_test,mean_orig_len_test,mean_content_ratio_test,mean_num_arcs_test,fragmentation_ratio_content_mean,fragmentation_ratio_overall_mean,mean_tree_height_test,height_residual,height_normalized_log,height_normalized_linear,n_train_sent,n_train_tokens_content,n_test_tokens_content,n_deprel_types,n_upos_types,log_n_train_sent,log_n_test_sent,log_n_train_tokens_content,log_n_test_tokens_content,ud_release,conllu_checksum_train,conllu_checksum_test,pretrain_exposure_log2mb,size_mb,chosen_date,exposure_source,complexity_pc1,complexity_pc1_adequate_only,feats_coverage_train,feats_coverage_band,new_complex_pc1,new_overall_marking_rate
UD_English-EWT,stan1293,Indo-European,depth,L7,True,0.3994,0.7921,0.848,0.0,0.8778,1974,2038,10.538757823784303,8.0,2.100613059263289,12.08184882041406,0.8362563151764189,9.549350024073185,1.8917477792910236,1.9227811933597676,3.732484076433121,-0.4583076033927953,1.0578356004310865,0.3541673638243681,12544,180259,21889,35,15,9.436997742590188,7.638679823876112,12.102149984552575,9.993739506513156,UD_2.x,9ad5928cd51aef8e,2798b52ad2f51abd,13.942855896996711,15747.726016998293,20181101,wikidump_2018,-0.4830443808628425,-1.0544532740540185,0.7767933917307873,Adequate,-2.517045328423659,0.776763669653508
UD_English-EWT,stan1293,Indo-European,dist,L7,True,0.4757,0.75,0.7805,0.8161,0.0,1805,1838,10.538757823784303,8.0,2.100613059263289,12.08184882041406,0.8362563151764189,9.549350024073185,1.8917477792910236,1.9227811933597676,3.732484076433121,-0.4583076033927953,1.0578356004310865,0.3541673638243681,12544,180259,21889,35,15,9.436997742590188,7.638679823876112,12.102149984552575,9.993739506513156,UD_2.x,9ad5928cd51aef8e,2798b52ad2f51abd,13.942855896996711,15747.726016998293,20181101,wikidump_2018,-0.4830443808628425,-1.0544532740540185,0.7767933917307873,Adequate,-2.517045328423659,0.776763669653508
UD_Finnish-TDT,finn1318,Uralic,depth,L7,True,0.4758,0.7784,0.8335,0.0,0.827,1364,1555,11.534405144694531,10.0,2.0476577852362157,13.54983922829582,0.8498314286834064,10.534405144694531,2.443811650519438,2.233831824939356,4.480385852090032,0.1560031113868927,1.228236002744511,0.3884366636931312,12217,138522,17936,30,13,9.41058370340406,7.349230824613334,11.83878443676038,9.79456514531194,UD_2.x,cbbcf5e7fb42f183,334eb867e267f6ef,9.32109218906926,639.6292877197266,20181001,wikidump_2018,1.4469754431736035,1.249414862918216,0.8503847764254053,Adequate,1.3222880710085243,0.850173863381697
UD_Finnish-TDT,finn1318,Uralic,dist,L7,True,0.5818,0.728,0.7639,0.7662,0.0,1349,1542,11.534405144694531,10.0,2.0476577852362157,13.54983922829582,0.8498314286834064,10.534405144694531,2.443811650519438,2.233831824939356,4.480385852090032,0.1560031113868927,1.228236002744511,0.3884366636931312,12217,138522,17936,30,13,9.41058370340406,7.349230824613334,11.83878443676038,9.79456514531194,UD_2.x,cbbcf5e7fb42f183,334eb867e267f6ef,9.32109218906926,639.6292877197266,20181001,wikidump_2018,1.4469754431736035,1.249414862918216,0.8503847764254053,Adequate,1.3222880710085243,0.850173863381697
UD_French-GSD,stan1290,Indo-European,depth,L7,True,0.4903,0.7723,0.8781,0.0,0.8822,1476,416,21.13701923076923,19.0,2.420239098354867,24.08173076923077,0.8688233903257099,20.13701923076923,1.3738233602574044,1.3262805995027034,5.408653846153846,-0.2041604264902616,1.21042589656374,0.2558853633572159,14450,315013,8793,33,14,9.57844969354058,6.030685260261263,12.660369186797464,9.081711229379,UD_2.x,d82e4915bf560a2f,3dbd70743dd47a5a,12.004485859867716,4108.755764007568,20181001,wikidump_2018,-0.2999265639758898,-0.8150101816689835,0.6941840495471615,Adequate,-0.8288564453626814,0.6924403068700974
UD_French-GSD,stan1290,Indo-European,dist,L7,True,0.6221,0.7687,0.8202,0.8291,0.0,1476,416,21.13701923076923,19.0,2.420239098354867,24.08173076923077,0.8688233903257099,20.13701923076923,1.3738233602574044,1.3262805995027034,5.408653846153846,-0.2041604264902616,1.21042589656374,0.2558853633572159,14450,315013,8793,33,14,9.57844969354058,6.030685260261263,12.660369186797464,9.081711229379,UD_2.x,d82e4915bf560a2f,3dbd70743dd47a5a,12.004485859867716,4108.755764007568,20181001,wikidump_2018,-0.2999265639758898,-0.8150101816689835,0.6941840495471615,Adequate,-0.8288564453626814,0.6924403068700974
UD_German-GSD,stan1295,Indo-European,depth,L7,True,0.415,0.8208,0.8441,0.0,0.8811,799,976,14.461617195496418,13.0,2.71859403859691,16.887410440122824,0.8511837710874774,13.461617195496418,1.5684579369045273,1.5014809123381403,4.393039918116684,-0.3241017393901648,1.1119876563016435,0.3037723830419704,13813,229233,14129,32,15,9.53336545669996,6.884486652042782,12.342494232516325,9.555984701765809,UD_2.x,988a37f7c83c795e,f2c2ccb3daaa5f06,12.27311315153432,4949.658076286316,20181001,wikidump_2018,0.6743309815311253,0.4626675072687337,0.7743474979605903,Adequate,-0.1070528205027414,0.7718503554983152
UD_German-GSD,stan1295,Indo-European,dist,L7,True,0.5249,0.7677,0.7985,0.8225,0.0,799,966,14.461617195496418,13.0,2.71859403859691,16.887410440122824,0.8511837710874774,13.461617195496418,1.5684579369045273,1.5014809123381403,4.393039918116684,-0.3241017393901648,1.1119876563016435,0.3037723830419704,13813,229233,14129,32,15,9.53336545669996,6.884486652042782,12.342494232516325,9.555984701765809,UD_2.x,988a37f7c83c795e,f2c2ccb3daaa5f06,12.27311315153432,4949.658076286316,20181001,wikidump_2018,0.6743309815311253,0.4626675072687337,0.7743474979605903,Adequate,-0.1070528205027414,0.7718503554983152
UD_Greek-GDT,mode1248,Indo-European,depth,L7,True,0.6735,0.6303,0.7722,0.0,0.7281,403,456,21.00657894736842,18.0,2.342523375378583,23.403508771929825,0.8853717527579896,20.00657894736842,2.724872527491356,2.491954861067458,5.543859649122807,-0.0514527878063111,1.2430560471009673,0.2639106378536381,1662,38138,9579,30,14,7.415776975415394,6.1224928095143865,10.548966439394572,9.167328481382892,UD_2.x,61067c7a97f701ee,0bba1050bfcc23b6,8.281205914616535,311.09381771087646,20181001,wikidump_2018,1.0336113338026007,0.7933966056619933,0.756489590434737,Adequate,0.3868368117012589,0.7520292641247464
UD_Greek-GDT,mode1248,Indo-European,dist,L7,True,0.7557,0.7257,0.8154,0.7515,0.0,394,448,21.00657894736842,18.0,2.342523375378583,23.403508771929825,0.8853717527579896,20.00657894736842,2.724872527491356,2.491954861067458,5.543859649122807,-0.0514527878063111,1.2430560471009673,0.2639106378536381,1662,38138,9579,30,14,7.415776975415394,6.1224928095143865,10.548966439394572,9.167328481382892,UD_2.x,61067c7a97f701ee,0bba1050bfcc23b6,8.281205914616535,311.09381771087646,20181001,wikidump_2018,1.0336113338026007,0.7933966056619933,0.756489590434737,Adequate,0.3868368117012589,0.7520292641247464
