language_slug,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent
UD_Persian-Seraji,depth,L5,false,0.7474,0.6229,0.7864,0.0000,0.7083,599,600
UD_Persian-Seraji,depth,L6,false,0.7113,0.6482,0.8089,0.0000,0.7483,599,600
UD_Persian-Seraji,depth,L7,true,0.6671,0.7005,0.8361,0.0000,0.7583,599,600
UD_Persian-Seraji,depth,L8,false,0.6827,0.6757,0.8311,0.0000,0.7150,599,600
UD_Persian-Seraji,depth,L9,false,0.6864,0.6801,0.8256,0.0000,0.7183,599,600
UD_Persian-Seraji,dist,L10,false,0.9528,0.7098,0.7540,0.7056,0.0000,596,598
UD_Persian-Seraji,dist,L5,false,0.9734,0.6715,0.7427,0.6959,0.0000,596,598
UD_Persian-Seraji,dist,L6,false,0.9211,0.7146,0.7681,0.7279,0.0000,596,598
UD_Persian-Seraji,dist,L7,true,0.8888,0.7431,0.7804,0.7368,0.0000,596,598
UD_Persian-Seraji,dist,L8,false,0.9005,0.7389,0.7786,0.7333,0.0000,596,598
UD_Persian-Seraji,dist,L9,false,0.9244,0.7196,0.7684,0.7227,0.0000,596,598
UD_Polish-PDB,depth,L10,false,0.4592,0.8264,0.8631,0.0000,0.9201,2215,2215
UD_Polish-PDB,depth,L5,false,0.5077,0.6379,0.8154,0.0000,0.8673,2215,2215
UD_Polish-PDB,depth,L6,false,0.4602,0.7202,0.8470,0.0000,0.9043,2215,2215
UD_Polish-PDB,depth,L7,true,0.4344,0.7749,0.8692,0.0000,0.9251,2215,2215
UD_Polish-PDB,depth,L8,false,0.4392,0.7605,0.8683,0.0000,0.9260,2215,2215
UD_Polish-PDB,depth,L9,false,0.4438,0.8244,0.8686,0.0000,0.9255,2215,2215
UD_Polish-PDB,dist,L10,false,0.5803,0.7232,0.7890,0.8218,0.0000,2200,2198
UD_Polish-PDB,dist,L5,false,0.5971,0.6701,0.7671,0.8014,0.0000,2200,2198
UD_Polish-PDB,dist,L6,false,0.5537,0.7253,0.7984,0.8334,0.0000,2200,2198
UD_Polish-PDB,dist,L7,true,0.5336,0.7558,0.8154,0.8466,0.0000,2200,2198
UD_Polish-PDB,dist,L8,false,0.5391,0.7527,0.8164,0.8440,0.0000,2200,2198
UD_Polish-PDB,dist,L9,false,0.5555,0.7364,0.8054,0.8354,0.0000,2200,2198
UD_Russian-SynTagRus,depth,L10,false,0.5053,0.8326,0.8575,0.0000,0.8826,8905,8800
UD_Russian-SynTagRus,depth,L5,false,0.5441,0.7368,0.8261,0.0000,0.8372,8905,8800
UD_Russian-SynTagRus,depth,L6,false,0.5000,0.7271,0.8530,0.0000,0.8677,8905,8800
UD_Russian-SynTagRus,depth,L7,true,0.4768,0.7879,0.8710,0.0000,0.8938,8905,8800
UD_Russian-SynTagRus,depth,L8,false,0.4806,0.8219,0.8697,0.0000,0.8980,8905,8800
UD_Russian-SynTagRus,depth,L9,false,0.4900,0.8317,0.8649,0.0000,0.8898,8905,8800
UD_Russian-SynTagRus,dist,L10,false,0.6271,0.7273,0.7754,0.8164,0.0000,8799,8679
UD_Russian-SynTagRus,dist,L5,false,0.6438,0.6966,0.7563,0.8042,0.0000,8799,8679
UD_Russian-SynTagRus,dist,L6,false,0.6009,0.7393,0.7829,0.8294,0.0000,8799,8679
UD_Russian-SynTagRus,dist,L7,true,0.5786,0.7595,0.8027,0.8414,0.0000,8799,8679
UD_Russian-SynTagRus,dist,L8,false,0.5838,0.7462,0.8018,0.8388,0.0000,8799,8679
UD_Russian-SynTagRus,dist,L9,false,0.6022,0.7410,0.7915,0.8297,0.0000,8799,8679
UD_Spanish-AnCora,depth,L10,false,0.6328,0.7921,0.8667,0.0000,0.8685,1652,1718
UD_Spanish-AnCora,depth,L5,false,0.6815,0.6552,0.8326,0.0000,0.8463,1652,1718
UD_Spanish-AnCora,depth,L6,false,0.6244,0.6776,0.8658,0.0000,0.8708,1652,1718
UD_Spanish-AnCora,depth,L7,true,0.5912,0.7201,0.8833,0.0000,0.8900,1652,1718
UD_Spanish-AnCora,depth,L8,false,0.6023,0.7333,0.8780,0.0000,0.8743,1652,1718
UD_Spanish-AnCora,depth,L9,false,0.6149,0.7457,0.8739,0.0000,0.8708,1652,1718
UD_Spanish-AnCora,dist,L10,false,0.8025,0.7487,0.8167,0.7448,0.0000,1651,1713
UD_Spanish-AnCora,dist,L5,false,0.8018,0.7040,0.8102,0.7712,0.0000,1651,1713
UD_Spanish-AnCora,dist,L6,false,0.7508,0.7367,0.8344,0.7972,0.0000,1651,1713
